state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
Colorado,0,0,36676,42279,43790,0,0,0,0,0,0,0,0,0,0,0,0,74572,74142,71356
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125867,129693,137570,137380,136889,122409
Delaware,0,0,0,0,0,0,0,0,0,5699,6190,6626,27614,28014,28869,29455,30466,30621,30769,29867
District of Columbia,0,0,0,10313,25180,26145,25160,24396,33850,33065,33064,38036,43340,44565,49848,46870,48138,47831,46289,44239
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,54399,58752,66567,84488,88942,91571,92909,101073,102447,114184,114653,117372,116854,119020,237742,234174,223593
Indiana,0,0,22598,21650,21597,21615,52116,55274,57510,59188,62821,66006,106070,105511,72347,72834,75045,111736,110655,106129
Iowa,16518,8451,8345,8448,8650,10870,11051,11161,11915,12642,27048,28062,30099,29430,29708,30182,31074,61479,61494,63541
Kansas,0,27043,29347,29433,29174,31170,52868,56544,57514,58967,57703,70044,77574,82190,83680,83629,85649,80030,79233,76187
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0,42158,48360,47766,48085,47461,47709,47079,47318,45812
Maine,0,0,0,0,0,0,2346,2394,2459,2563,2729,2899,9781,8976,9053,9155,9381,9332,9227,8903
Maryland,293990,109201,112540,134666,139036,152020,169481,186465,196652,201891,180077,213459,210392,212854,219036,221784,232287,234181,230178,226672
Massachusetts,47186,54828,55815,54129,82042,91150,95496,100785,105383,103201,106338,109612,109548,110024,113941,115821,121060,120690,118880,174886
Michigan,0,0,0,0,0,0,0,0,0,0,0,163076,359330,361057,111362,111112,113073,112194,110285,106264
Minnesota,56944,112070,123303,137231,143055,166060,163789,163423,168795,173379,187235,193903,218313,217718,222944,225979,232921,231317,228305,221086
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,0,0,0,0,0,0,0,0,0,18521,24485,25446,28097,28057,28695,28905,29755,29401,29291,28267
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,80284,131956,167416,193892,193656,194800,195856,207896,238634,299602,241056,247412,248318,265333,265876,264482,383430
New Mexico,0,0,0,0,0,0,0,0,0,0,34598,44728,49544,48655,48811,48758,49520,48724,48934,47450
New York,483849,487323,501814,576483,666630,773869,875729,830953,851104,894548,983688,910946,1093221,1110911,1132180,1140803,1188506,1180144,1162328,1104967
North Carolina,0,0,0,0,0,0,0,0,0,0,0,67374,104682,103927,106807,107209,110129,109661,109004,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60371,91208,92040
Oklahoma,0,0,0,0,0,31503,32180,33456,33328,33516,34916,35596,40355,39852,39857,39182,40029,39290,39919,39241
Oregon,17336,14837,14314,14008,14060,15612,16089,16225,16617,22562,23638,29788,33177,32654,33226,33542,34537,34070,33665,42830
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,26600,26860,26925,26409,4853,5670,7818,8138,11201,14703,15497,16076,42027,41801,42656,43243,46070,45432,44588,22319
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,15819,16833,15907,18809,19063,21976,22204,22131,22296,22476,23267,24020,25989,25863,25779,26199,26453,25891,25743,24731
Virginia,0,0,0,20428,22819,25507,27311,29977,26117,100469,110284,99271,235776,237841,241737,244482,252100,250539,250132,240655
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,86635,84414,82139,80500,80310,90402,89653,92147,95844,97961,102658,107645,141954,136495,108777,105445,106488,101833,100814,97822
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
