state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alaska,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Arizona,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Arkansas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
California,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Colorado,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Connecticut,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Delaware,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
District of Columbia,3,3,4,4,4,5,5,5,5,5,9,8,8,7,6,6,6,5,6,6
Florida,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Georgia,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Hawaii,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2
Idaho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Illinois,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1
Indiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Iowa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kansas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kentucky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Louisiana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Maine,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4
Maryland,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Massachusetts,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2
Michigan,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
Minnesota,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Mississippi,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Missouri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Montana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Nebraska,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
Nevada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Hampshire,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
New Jersey,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
New Mexico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New York,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
North Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North Dakota,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
Ohio,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2
Oklahoma,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oregon,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3
Pennsylvania,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Rhode Island,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2
South Carolina,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Dakota,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
Tennessee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Texas,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
Utah,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vermont,1,1,1,2,2,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3
Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Washington,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
West Virginia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Wisconsin,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
Wyoming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
